sentence,sentence_id,target_idx,instance_id,target,worker_id,general_comment,question_template_worker,question_worker,answer_worker,answer_range_worker,property_worker,comment_worker,expert_id,question_template_expert,question_expert,answer_expert,answer_range_expert,property_expert,comment_expert,mismatch_type
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A17TKHT8FEVH0R,,What/Who is a part/member of [W]?,What is a part of subtypes?,16 H and 9 N,"(3, 8)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A17TKHT8FEVH0R,,What is the [PROPERTY] of (the) [W]?,What is the amount of (the) subtypes?,16 H and 9 N,"(3, 7)",amount,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A17TKHT8FEVH0R,,What kind of [W]?,What kind of film?,Austrian,"(3, 4)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A17TKHT8FEVH0R,,What is the [PROPERTY] of (the) [W]?,What is the profession of (the) film?,director,"(5, 6)",profession,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A17TKHT8FEVH0R,,What is the [PROPERTY] of (the) [W]?,What is the award of (the) director?,Academy Award,"(9, 11)",award,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose family?,our,"(13, 14)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many woman?,one,"(18, 19)",,,answer
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many loss?,50 -- 57,"(7, 10)",,,answer
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the counterpart of (the) loss?,Canada,"(6, 7)",counterpart,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the object of (the) complaints?,Hall,"(23, 24)",object,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the victim of (the) assault?,three females between eight and seventeen years of age,"(13, 22)",victim,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,When is the [W]?,When is the assault?,between 1974 and 1984,"(8, 12)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,16,"(3, 4)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,H,"(4, 5)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,9,"(6, 7)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,N,"(7, 8)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A17TKHT8FEVH0R,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a part of subtypes?,"H 1 , 2 and 3 , and N 1 and 2","(13, 25)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,10,Wiki1k:wikinews:1823406:7:0_10,whereabouts,A17TKHT8FEVH0R,,What is the [W] a part/member of?,What is the whereabouts a part of?,our family members,"(13, 16)",,,AZC7J87AH18DW,Whose [W]?,Whose whereabouts?,our family members,"(13, 16)",,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A17TKHT8FEVH0R,,What/Who is a part/member of [W]?,Who is a part of family?,one weeping woman at Juanda,"(18, 22)",,,AZC7J87AH18DW,Whose [W]?,Whose family?,one weeping woman at Juanda,"(18, 23)",,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A17TKHT8FEVH0R,,What kind of [W]?,What kind of members?,family,"(14, 15)",,,AZC7J87AH18DW,What is the [W] a part/member of?,What is the members a member of?,our family,"(13, 15)",,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A17TKHT8FEVH0R,,What kind of [W]?,What kind of information?,on the whereabouts of our family members,"(9, 16)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) information?,the whereabouts of our family members,"(10, 16)",content,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A17TKHT8FEVH0R,,What is the [W] a part/member of?,What is the information a part of?,"whereabouts of our family members ,","(11, 17)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) information?,the whereabouts of our family members,"(10, 16)",content,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A17TKHT8FEVH0R,,What/Who is (the) [W]?,What is (the) information?,whereabouts of our family members,"(11, 16)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) information?,the whereabouts of our family members,"(10, 16)",content,,question
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A17TKHT8FEVH0R,,What/Who is a part/member of [W]?,Who is a part of loss?,Australia,"(1, 2)",,,AZC7J87AH18DW,Whose [W]?,Whose loss?,Australia,"(1, 2)",,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A17TKHT8FEVH0R,,What kind of [W]?,What kind of counts?,indecent assault,"(30, 31)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) counts?,indecent assault,"(30, 32)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A17TKHT8FEVH0R,,What kind of [W]?,What kind of indecent?,assault,"(31, 32)",,,AZC7J87AH18DW,What/Who is (the) [W]?,What is (the) indecent?,assault,"(31, 32)",,Not a noun - it's an adjective!,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A17TKHT8FEVH0R,,What is the [W] a part/member of?,What is the indecent a part of?,assault,"(31, 32)",,,AZC7J87AH18DW,What/Who is (the) [W]?,What is (the) indecent?,assault,"(31, 32)",,Not a noun - it's an adjective!,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A17TKHT8FEVH0R,,What/Who is (the) [W]?,What is (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(6, 22)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(6, 22)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A17TKHT8FEVH0R,,What is the [W] a part/member of?,What is the complaints a part of?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(6, 22)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(6, 22)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A17TKHT8FEVH0R,,What kind of [W]?,What kind of events?,alleged,"(6, 7)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the veracity of (the) events?,alleged,"(6, 7)",veracity,,question
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A17TKHT8FEVH0R,,What kind of [W]?,What kind of director?,film,"(4, 5)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the domain of (the) director?,film director,"(4, 6)",domain,,question
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A17TKHT8FEVH0R,,What/Who is (the) [W]?,What is (the) director?,Austrian,"(3, 4)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the nationality of (the) director?,Austrian,"(3, 4)",nationality,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,10,Wiki1k:wikinews:1823406:7:0_10,whereabouts,A1FS8SBR4SDWYG,,What/Who is a part/member of [W]?,What is a part of whereabouts?,information,"(7, 8)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A1FS8SBR4SDWYG,,What/Who is a part/member of [W]?,Who is a member of family?,our family members,"(13, 16)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of members?,family members,"(14, 16)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A1FS8SBR4SDWYG,,Whose [W]?,Whose members?,one weeping woman,"(18, 21)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of woman?,weeping woman,"(19, 21)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A1FS8SBR4SDWYG,,What is the [PROPERTY] of (the) [W]?,What is the response of (the) woman?,I hope I can get information soon on the whereabouts of our family members,"(2, 16)",response,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A1FS8SBR4SDWYG,,When is the [W]?,When is the information?,soon,"(8, 9)",,,,,,,,,,answer
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of loss?,a loss to Canada,"(3, 7)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A1FS8SBR4SDWYG,,What is the [W] a part/member of?,What is the relation a part of?,omplaints about alleged events between 1974 and 1984,"(4, 12)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A1FS8SBR4SDWYG,,What is the [PROPERTY] of (the) [W]?,What is the result of (the) relation?,three counts of indecent assault,"(27, 32)",result,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of relation?,relation to complaints about alleged events between 1974 and 1984,"(2, 12)",,,,,,,,,,answer
